ap,lat,lon
KIAD,38.9474444,-77.4599444
KTEB,40.8501111,-74.0608333
KHPN,41.0669531,-73.7075661
KLEX,38.03675,-84.6086389
KBUF,42.9404167,-78.7305833
KAAF,29.7275494,-85.0273775
KTIX,28.5148056,-80.7992222
KBNA,36.124475,-86.6781806
KCHO,38.1396428,-78.4523442
KCHS,32.8986389,-80.0405278
KBED,42.4699444,-71.289
KAPA,39.5701186,-104.8492931
KRDU,35.8776389,-78.7874722
KDAL,32.8459447,-96.8508767
KCLE,41.4094069,-81.8546911
KMSL,34.7453056,-87.6102222
KFLL,26.0716667,-80.1496944
KYIP,42.2400278,-83.5308889
KOPF,25.9074167,-80.2782222
KMKY,25.9950278,-81.6725278
KAUS,30.1945272,-97.6698761
KUES,43.0410278,-88.2370556
KEWR,40.6924798,-74.1686868
KSRQ,27.3954444,-82.5543889
KFOK,40.8436186,-72.6318119
KAGS,33.3699444,-81.9645
KASE,39.2218889,-106.8682222
KSTP,44.9346225,-93.0603424
KDTS,30.4000547,-86.4714722
KPIE,27.9086336,-82.68651
KSSI,31.1519664,-81.3910597
KISO,35.3314314,-77.6088314
KPDK,33.8760019,-84.3020306
KMDW,41.7859722,-87.7524167
KEGE,39.64275,-106.9159444
KSUA,27.1816992,-80.2212933
KEWN,35.0728525,-77.0430201
KJZI,32.7010278,-80.00325
KAPF,26.1524408,-81.7756392
KUOX,34.3843333,-89.5368056
KPBI,26.6831617,-80.0955919
KSFB,28.7771781,-81.2349139
KSBA,34.4261914,-119.8414927
KSLC,40.7883933,-111.9777733
KFXE,26.1972794,-80.1707063
KOKC,35.393074,-97.6007617
KPHL,39.8720839,-75.2406631
KPVU,40.21785,-111.72161
KGEV,36.4324722,-81.4185
KUNV,40.85,-77.8475833
KCLT,35.21375,-80.9490556
KAHN,33.9486389,-83.3259167
KMRY,36.5869522,-121.8427831
KSTS,38.5096944,-122.8128889
KNEW,30.0424167,-90.02825
KCXO,30.3533955,-95.4150819
KBHM,33.5638889,-86.7523056
KLAS,36.0800439,-115.1522347
KVNY,34.2098056,-118.4899722
KBOS,42.3629444,-71.0063889
KILM,34.2711389,-77.9028889
KECP,30.35825,-85.7956111
KBZN,45.7772358,-111.1502603
KADS,32.9685556,-96.8364444
KRSW,26.5361667,-81.7551667
KCPP,33.59797,-83.1382603
KHGR,39.7085,-77.7265
KBUY,36.0497278,-79.4730081
KLGA,40.77725,-73.8726111
KORD,41.9766289,-87.9072531
KATL,33.6366996,-84.427864
KTMB,25.6475637,-80.4332246
KCGF,41.5645833,-81.4872222
KBWI,39.1757283,-76.6689911
KSTL,38.7486972,-90.3700289
KHXD,32.224495,-80.6974008
KBKV,28.4736111,-82.4554167
KTPA,27.9754722,-82.53325
KTYS,35.8093739,-83.9953214
KBMG,39.1460208,-86.6166805
KGWW,35.4605556,-77.9649167
KINT,36.1337138,-80.2219877
KVNC,27.0716111,-82.4403333
KMIA,25.7953611,-80.2901158
KLAF,40.4123056,-86.9368889
KSPI,39.8442222,-89.6780833
KBCT,26.3785,-80.1076944
KEYW,24.5561197,-81.7599558
KCEF,42.194015,-72.5347843
KDFW,32.8972331,-97.0376947
KMTN,39.3256667,-76.4137778
KORF,36.8946042,-76.2012292
KHOU,29.6454167,-95.2788889
KVRB,27.6555556,-80.4179444
KFRG,40.7287778,-73.4134167
KJAX,30.4940456,-81.6878467
KHUT,38.0661547,-97.8604897
KGSO,36.1013267,-79.9411228
KILG,39.6787222,-75.6066389
KLUK,39.1033333,-84.4186111
KMMU,40.7993383,-74.4148886
KBVY,42.5841389,-70.9161389
KGPT,30.4072692,-89.0700958
KMTH,24.7261944,-81.0513611
KMEM,35.0424114,-89.9766792
KRVS,36.0395839,-95.9845953
KPVW,34.1681472,-101.7173361
KOAK,37.72125,-122.2211389
KACT,31.6121944,-97.2303056
KSAF,35.6171111,-106.0894167
KSAT,29.5339583,-98.4690569
KUIN,39.9430174,-91.1944634
KMSN,43.1398791,-89.3375045
KTVI,30.9014722,-83.8814444
KXNA,36.2815792,-94.3077656
KJWN,36.1830218,-86.8864953
KSDL,33.6228889,-111.9105278
KBTV,44.471955,-73.1532761
KPTK,42.6656362,-83.4205056
KOGS,44.68225,-75.46325
KPGD,26.9185833,-81.9908889
KSGJ,29.9592517,-81.3397325
KABE,40.6523628,-75.4404058
KFLO,34.1853611,-79.7238889
KCEU,34.6722222,-82.8858889
KMSY,29.9932778,-90.2590278
KPDX,45.5887089,-122.5968694
KUGN,42.4221492,-87.8679192
KOPN,32.9550026,-84.2640862
KOXC,41.4782806,-73.1351825
KFTW,32.8197703,-97.36245
KTUS,32.1160692,-110.9410139
KRIC,37.5051811,-77.3197386
KMQJ,39.8431389,-85.8977222
KMVN,38.3233611,-88.8585
KHND,35.9728611,-115.1344444
KSJC,37.3629947,-121.9286206
KLBE,40.2731005,-79.4103256
KSAV,32.1275833,-81.2021389
KPWK,42.1142778,-87.9015278
KBKL,41.5178611,-81.6826389
KCMH,39.9969467,-82.8921592
KALB,42.7491161,-73.80198
KIAG,43.1075574,-78.9458467
KDAB,29.1799167,-81.0580556
KPLN,45.5709167,-84.7967222
KCRQ,33.12825,-117.2800833
KHYA,41.6693333,-70.2803611
KBDL,41.9391389,-72.6833611
KGYI,33.7141911,-96.6743597
KMLB,28.10275,-80.64525
KMCO,28.4293889,-81.309
KDVT,33.6883056,-112.0825556
KMKE,42.9469319,-87.8970644
KTEX,37.9538056,-107.90875
KMKC,39.1229444,-94.5928333
KCMA,34.21375,-119.0943611
KODO,31.9214152,-102.3871329
KFNT,42.9654722,-83.74475
KGRK,31.06725,-97.8289167
KBOI,43.5643611,-116.2228611
KTYQ,40.0306667,-86.2514444
KEKS,45.2743611,-111.6488611
KBAF,42.1579444,-72.7158611
KCAE,33.9388378,-81.1195361
KCDW,40.8752222,-74.2813611
KHSV,34.6371969,-86.7750542
KBLM,40.1867778,-74.1245556
KSUS,38.6621111,-90.6520556
KSYR,43.1111944,-76.1063056
KORL,28.5454617,-81.33293
KBTR,30.5329167,-91.1498889
KEKY,33.3126111,-86.9263056
KRDG,40.3785,-75.96525
KPSP,33.8296667,-116.5066944
KJAN,32.3111667,-90.0758889
KOUN,35.2455556,-97.4721389
KJQF,35.3877703,-80.7091325
KCQF,30.4605,-87.8770278
KAIK,33.6493889,-81.6850278
KOLV,34.97875,-89.7868611
KFWA,40.9784722,-85.1951667
KBOW,27.9433611,-81.7834167
KFMY,26.5866111,-81.86325
KLEE,28.8228889,-81.8084167
KSAN,32.7335556,-117.1896667
KDWH,30.0617791,-95.5527884
KICT,37.6499444,-97.4330556
KOSU,40.0795156,-83.0732128
KGVL,34.2726264,-83.8302261
KHUF,39.4506319,-87.30699
KLAL,27.9876389,-82.019
KPWM,43.6456435,-70.3086164
KTLH,30.3967542,-84.3508689
KITH,42.4913611,-76.4587222
KPOU,41.6265833,-73.8841944
KTTN,40.2766944,-74.8134722
KTUL,36.1983889,-95.8881111
KJYO,39.0779722,-77.5575
KSGF,37.2456667,-93.3886389
KEDJ,40.3722778,-83.81925
KAPC,38.2131892,-122.2806872
KEDC,30.3974931,-97.5663935
KISM,28.2898056,-81.4370833
KROA,37.3254722,-79.9754167
KIUA,42.9089019,-77.3252263
KSJT,31.3577483,-100.4963042
KCRP,27.7721944,-97.5024167
KFHB,30.6118333,-81.4611944
KHEF,38.7210231,-77.5151012
KLBB,33.6636667,-101.8205556
KFLG,35.1403158,-111.6692414
KHQU,33.5297222,-82.5169444
KMPV,44.2034895,-72.5620976
KRYY,34.0131667,-84.5970278
KGED,38.6876328,-75.3593044
KSMF,38.6954444,-121.5907778
KFWS,32.5651336,-97.3084394
KAGC,40.3544376,-79.9290467
KPGA,36.9260694,-111.4483506
KGJT,39.1224167,-108.52675
KCOS,38.8058131,-104.7007747
KIMT,45.8183611,-88.1145556
KMHT,42.9328056,-71.43575
KSNA,33.6756667,-117.8682222
KCHA,35.0351944,-85.2035556
KSWF,41.5041111,-74.1048333
KBIV,42.7427778,-86.1078333
KLAX,33.9424964,-118.4080486
KMTV,36.6307525,-80.0183383
KRMG,34.3507778,-85.1586667
KFFC,33.3577222,-84.5725278
KSVH,35.765,-80.9538889
KSDF,38.1740858,-85.7364989
KMYR,33.6797411,-78.9283214
KMQS,39.9789722,-75.8654722
KAAO,37.7475833,-97.2211111
KEVV,38.0408056,-87.5285
KJAC,43.6073333,-110.73775
KIND,39.7173056,-86.2946389
KDRO,37.1515278,-107.7537778
KMSP,44.8819722,-93.2217778
KJFK,40.6399278,-73.7786925
KXWA,48.259785,-103.7505544
KGMJ,36.6067778,-94.7385556
KAMA,35.2193611,-101.7059167
KUZA,34.9878333,-81.0571667
KLGB,33.8179297,-118.1518906
KGRR,42.8808333,-85.5228056
KDET,42.4093275,-83.0101739
KHDN,40.4811944,-107.2176667
KGRI,40.9675425,-98.3096389
KSOP,35.2374225,-79.3890336
KPCW,41.5162778,-82.8695
KRIL,39.5266111,-107.728
KPKB,39.3449619,-81.4392931
KCVG,39.0488367,-84.6678222
KAVQ,32.4095556,-111.2183889
KPNS,30.4734167,-87.1866111
KEHR,37.8078333,-87.6856944
KBTP,40.7765833,-79.9510833
KPIA,40.6641944,-89.69325
KSBY,38.3401894,-75.5094781
KLYH,37.3253889,-79.2012222
KAVL,35.4361106,-82.5420472
KPNE,40.0819444,-75.0105833
KERV,29.9766667,-99.0854722
KIAH,29.9844353,-95.3414425
KBDR,41.1634722,-73.1261667
KMGY,39.5889722,-84.2248611
KBRO,25.9061389,-97.426
KMGM,32.3006389,-86.3939722
KPSM,43.0779444,-70.8232778
KPVD,41.7223333,-71.4277222
KTOL,41.5868167,-83.8078267
KTCL,33.2206275,-87.6114015
KACK,41.2529751,-70.0599114
KIXD,38.8309167,-94.8903056
KISP,40.7961357,-73.1006651
KACY,39.4575833,-74.5771667
KVPC,34.1231475,-84.8487067
KMAF,31.9425278,-102.2019167
KBPT,29.9508333,-94.0206944
KTRM,33.6266706,-116.1596544
KRWI,35.8562528,-77.8919333
KBGR,44.8074444,-68.8281389
KAIZ,38.0960278,-92.5494722
KOCF,29.1718768,-82.2241146
KGRB,44.4846336,-88.1297133
KASW,41.2746944,-85.8400833
KPIT,40.4914167,-80.2326944
KMIV,39.3678056,-75.0722222
KTKI,33.1770653,-96.5887667
KBGM,42.2084444,-75.9796111
KSHD,38.2638333,-78.8964444
KBUR,34.2006944,-118.3586667
KTUP,34.269,-88.7698889
KRNO,39.4991111,-119.7681111
KRFD,42.1953611,-89.0972222
KUDD,33.7484375,-116.2748133
KROC,43.1191436,-77.6718689
KLBL,37.0439167,-100.9599722
KASH,42.7824139,-71.5140944
KFCM,44.8275,-93.4585833
KMVY,41.3934175,-70.6138744
KFTY,33.7791264,-84.521366
KSBN,41.7082222,-86.3173333
KCON,43.2027222,-71.5022778
KCZL,34.4553889,-84.9391667
KRBW,32.921,-80.6406111
KPAE,47.9073174,-122.282094
KBBP,34.6217086,-79.7343594
KLEB,43.6261111,-72.3041944
KLCI,43.5730417,-71.4178417
KORH,42.2671389,-71.8756111
KHAO,39.36375,-84.5219444
KEWB,41.676566,-70.957836
KFCI,37.4064444,-77.5248333
KHKY,35.7411456,-81.3895506
KESN,38.8041667,-76.069
KFDK,39.4170211,-77.3747322
KCYS,41.1556389,-104.8104722
KSGR,29.6222486,-95.6565342
KMCN,32.6928333,-83.6492222
KUAO,45.2471389,-122.7700556
KBQK,31.2590347,-81.4663158
KBFI,47.5299722,-122.3019444
KRST,43.9082778,-92.5000278
KCOU,38.8173333,-92.2180278
KLZU,33.9780761,-83.9623772
KTME,29.8050278,-95.8978889
KUCY,36.379744,-88.9857038
KMRN,35.8202222,-81.6114167
KPHF,37.1318889,-76.4929722
KJKA,30.2896389,-87.6717778
KTYR,32.3535556,-95.4029722
KDPA,41.9070531,-88.247995
KPWA,35.5341639,-97.6470528
KFNL,40.4518272,-105.0113356
KEDE,36.0277345,-76.5670922
KVLD,30.7813722,-83.2762194
KHBV,27.3495556,-98.7369444
KMHR,38.5553108,-121.2972114
KBCB,37.2093867,-80.41209
KATW,44.2580833,-88.5190833
KLNK,40.8508889,-96.7591111
KMSV,41.7016389,-74.7950278
KCIN,42.0466667,-94.7886944
KAFW,32.9903858,-97.3194406
KABQ,35.0389316,-106.6082622
KGLH,33.4828811,-90.9856139
KBFL,35.4338611,-119.0576667
KPGV,35.6356944,-77.3840833
KMOB,30.6914167,-88.2428333
KPQL,30.4627811,-88.5292278
KJVL,42.62025,-89.0415556
KJMS,46.9297222,-98.6781944
KOMA,41.3031667,-95.8940556
KPPO,41.5724722,-86.7345275
KPHX,33.4342778,-112.0115833
KARR,41.7719167,-88.4756667
KMRH,34.7337586,-76.6603547
KBEH,42.1283808,-86.4248811
KEEN,42.8983889,-72.2707778
KDAY,39.90225,-84.2194167
KCEY,36.6645811,-88.3727756
KGXY,40.4374167,-104.6332222
KHKS,32.3347778,-90.2225278
KCID,41.8846886,-91.7107986
KGSP,34.8956711,-82.2188594
KOXR,34.2008069,-119.2072264
KTXK,33.4537222,-93.9910278
KMCC,38.6676389,-121.4006111
KOGB,33.4569178,-80.8594067
KTHV,39.917,-76.8730278
KDEN,39.8616667,-104.6731667
KSEA,47.4498889,-122.3117778
KSEF,27.4563889,-81.3423889
KOKV,39.1435278,-78.1444444
KCAK,40.9150556,-81.4436389
KOAJ,34.8291667,-77.6121389
KDIJ,43.7426944,-111.0967778
KOFP,37.7089444,-77.4366389
KJVY,38.3666183,-85.7381447
KTTF,41.9398889,-83.4346667
KMTJ,38.5098056,-107.89425
KROG,36.3724167,-94.1069722
KEAT,47.3988056,-120.2068333
KAIA,42.0532222,-102.80375
KGEG,47.6190278,-117.5352222
KRME,43.2338056,-75.4070278
KEUG,44.1245833,-123.2119722
KBHB,44.4497053,-68.3614897
KLVK,37.6933889,-121.8203611
KMML,44.4517222,-95.8244167
KSHR,44.7691944,-106.9802778
KCVO,44.4971111,-123.2895278
KLIT,34.7294444,-92.2247778
KLCQ,30.1820556,-82.5768611
KTRI,36.4752078,-82.4074153
KXNX,36.3750833,-86.4084167
KUNI,39.2118928,-82.2292554
KSFO,37.6188056,-122.3754167
KSJS,37.7510197,-82.6366864
KBLI,48.7926944,-122.5375278
KCVX,45.3048611,-85.2753056
KTOC,34.5928117,-83.2963717
KMLJ,33.1542261,-83.2414028
KTIW,47.2679444,-122.5781111
KHCR,40.4818056,-111.4288056
KDVN,41.6102778,-90.5883611
KCRE,33.81175,-78.7239444
KFPR,27.4974722,-80.3726389
KBTM,45.9548056,-112.4974722
KBRD,46.4042222,-94.1338056
KHVN,41.2637494,-72.8868006
KEAU,44.8658056,-91.48425
KDMW,39.6082778,-77.0076667
KTVC,44.7415833,-85.5818611
KBDN,44.0945608,-121.2002211
KLAN,42.7786389,-84.5861944
KGOV,44.6803333,-84.7288611
KSGU,37.0363781,-113.5103028
KREG,30.1713667,-90.9403861
KLBF,41.1262222,-100.6836667
KRKD,44.0601422,-69.0996697
KMCI,39.2976111,-94.7138889
KMBS,43.5329269,-84.0796358
KFSD,43.5820133,-96.7419164
KPRC,34.6548333,-112.4192222
KSUT,33.9308056,-78.0733611
KNUQ,37.4161422,-122.0491311
KAVP,41.3384722,-75.7233889
KHLN,46.6067222,-111.9832778
KFAT,36.7765556,-119.7188333
KBJC,39.9088056,-105.1171944
KACB,44.9885772,-85.1983464
KCOE,47.7743056,-116.8195833
KBRY,37.8143333,-85.4996389
KPRB,35.6728889,-120.6270833
KRUT,43.5297303,-72.9496261
KGPI,48.3105,-114.256
KGGE,33.3114167,-79.3203056
KPAH,37.0602883,-88.7729592
KDTW,42.2124444,-83.3533889
KHOT,34.4780278,-93.0962222
KOKZ,32.9663744,-82.8374881
KPSF,42.4276201,-73.2908398
KBFF,41.8740278,-103.5956389
KGAO,29.4411111,-90.2611111
KOTH,43.4169444,-124.2470278
KTWF,42.4818056,-114.48775
KWWD,39.0083694,-74.9085111
KSUN,43.5037806,-114.2955583
KRBD,32.6813056,-96.8687778
KTVR,32.3516111,-91.0276887
KSEZ,34.8485892,-111.7884475
KGVT,33.0678333,-96.0653333
KGTR,33.4482778,-88.5913889
KMDD,32.0365704,-102.1015276
KELP,31.8073333,-106.3763611
KDLZ,40.2795421,-83.1133836
KDSM,41.5339728,-93.6630719
KPEO,42.6370833,-77.0528611
KLWC,39.0111111,-95.2164722
KLFT,30.2050278,-91.98775
KVPZ,41.4539722,-87.0070833
KGLR,45.0130278,-84.7034444
KEAR,40.7270406,-99.00677
KIFP,35.1546111,-114.5593333
KBAK,39.261915,-85.8963389
KLWB,37.8583067,-80.3994825
KBBG,36.5320825,-93.2005444
KBRL,40.7829769,-91.1255864
KSAC,38.5128611,-121.4933003
KGTU,30.6788056,-97.6793889
KVQQ,30.2187778,-81.8771667
KTRK,39.3200556,-120.1395833
KHBG,31.2649444,-89.2528889
KCSG,32.5163333,-84.9388611
KIMS,38.7599167,-85.4646944
KOQU,41.5971389,-71.4121389
KGMU,34.8479444,-82.35
KMQY,36.0089703,-86.5200897
KABI,32.4113333,-99.6818889
